,day,start_time,end_time,total_time,session,subject
0,2025-01-12,2025-01-12 09:27:49.137676,2025-01-12 10:39:05.023019,0 days 01:11:15.885343,Morning,MFI
1,2025-01-12,2025-01-12 11:10:38.853148,2025-01-12 12:45:09.302878,0 days 01:34:30.449730,Morning,MFI
2,2025-01-12,2025-01-12 14:08:01.646041,2025-01-12 15:05:45.099268,0 days 00:57:43.453227,Afternoon,MFI
3,2025-01-12,2025-01-12 15:15:56.181232,2025-01-12 15:43:05.820218,0 days 00:27:09.638986,Afternoon,MFI
4,2025-01-12,2025-01-12 16:17:27.812536,2025-01-12 17:07:21.329287,0 days 00:49:53.516751,Afternoon,Valuation
5,2025-01-12,2025-01-12 17:41:07.644031,2025-01-12 18:54:26.110733,0 days 01:13:18.466702,Afternoon,Valuation
6,2025-01-12,2025-01-12 21:15:25.813747,2025-01-12 22:31:28.804183,0 days 01:16:02.990436,Evening,Valuation
7,2025-01-12,2025-01-12 22:33:45.485718,2025-01-12 23:15:26.429114,0 days 00:41:40.943396,Evening,Valuation
8,2025-01-13,2025-01-13 08:51:49.429114,2025-01-13 09:51:49.429114,0 days 01:00:00,Morning,Valuation
9,2025-01-13,2025-01-13 10:29:52.483747,2025-01-13 11:58:11.188611,0 days 01:28:18.704864,Morning,Valuation
10,2025-01-13,2025-01-13 12:22:59.705630,2025-01-13 13:12:13.093950,0 days 00:49:13.388320,Morning,Valuation
11,2025-01-13,2025-01-13 14:38:14.858910,2025-01-13 14:55:35.720968,0 days 00:17:20.862058,Afternoon,Valuation
12,2025-01-13,2025-01-13 15:28:42.928041,2025-01-13 16:14:03.068489,0 days 00:45:20.140448,Afternoon,Valuation
13,2025-01-13,2025-01-13 16:36:12.219831,2025-01-13 17:38:30.647720,0 days 01:02:18.427889,Afternoon,Valuation
14,2025-01-13,2025-01-13 18:12:58.679771,2025-01-13 19:09:08.525862,0 days 00:56:09.846091,Afternoon,MFI
15,2025-01-13,2025-01-13 21:08:30.567882,2025-01-13 22:48:16.462169,0 days 01:39:45.894287,Evening,MFI
16,2025-01-13,2025-01-13 23:11:22.279988,2025-01-13 23:23:48.371466,0 days 00:12:26.091478,Evening,MFI
17,2025-01-13,2025-01-13 23:26:03.364152,2025-01-13 23:39:07.649164,0 days 00:13:04.285012,Evening,MFI
18,2025-01-14,2025-01-14 10:04:20.559935,2025-01-14 11:08:59.038751,0 days 01:04:38.478816,Morning,IB
19,2025-01-14,2025-01-14 11:25:28.874870,2025-01-14 12:54:52.760417,0 days 01:29:23.885547,Morning,IB
20,2025-01-14,2025-01-14 13:59:25.994556,2025-01-14 15:11:13.282537,0 days 01:11:47.287981,Afternoon,MFI
21,2025-01-14,2025-01-14 15:07:55.716224,2025-01-14 16:37:18.334263,0 days 01:29:22.618039,Afternoon,MFI
22,2025-01-14,2025-01-14 17:13:00.677489,2025-01-14 17:57:08.392406,0 days 00:44:07.714917,Afternoon,MFI
23,2025-01-14,2025-01-14 18:06:50.848822,2025-01-14 19:15:35.408437,0 days 01:08:44.559615,Afternoon,MFI
24,2025-01-14,2025-01-14 21:28:56.958724,2025-01-14 22:30:33.574105,0 days 01:01:36.615381,Evening,MFI
25,2025-01-15,2025-01-15 11:38:24.867444,2025-01-15 12:19:06.355969,0 days 00:40:41.488525,Morning,IB
26,2025-01-15,2025-01-15 12:33:33.050314,2025-01-15 13:11:51.656533,0 days 00:38:18.606219,Morning,MFI
27,2025-01-15,2025-01-15 14:12:56.494822,2025-01-15 15:35:55.749932,0 days 01:22:59.255110,Afternoon,MFI
28,2025-01-15,2025-01-15 15:44:58.908250,2025-01-15 16:16:53.592122,0 days 00:31:54.683872,Afternoon,MFI
29,2025-01-15,2025-01-15 17:05:18.118129,2025-01-15 18:00:27.360987,0 days 00:55:09.242858,Afternoon,MFI
30,2025-01-16,2025-01-16 09:26:47.071432,2025-01-16 10:45:37.455722,0 days 01:18:50.384290,Morning,MFI
31,2025-01-16,2025-01-16 11:05:46.867877,2025-01-16 11:58:32.648840,0 days 00:52:45.780963,Morning,MFI
32,2025-01-16,2025-01-16 12:16:27.793506,2025-01-16 12:50:09.467335,0 days 00:33:41.673829,Morning,MFI
33,2025-01-16,2025-01-16 14:19:03.467004,2025-01-16 15:30:19.574469,0 days 01:11:16.107465,Afternoon,MFI
34,2025-01-16,2025-01-16 15:51:54.050104,2025-01-16 17:09:35.118038,0 days 01:17:41.067934,Afternoon,MFI
35,2025-01-16,2025-01-16 17:41:57.438145,2025-01-16 19:22:58.731389,0 days 01:41:01.293244,Afternoon,MFI
36,2025-01-16,2025-01-16 21:51:28.474148,2025-01-17 00:03:09.442491,0 days 02:11:40.968343,Evening,IB
37,2025-01-17,2025-01-17 09:29:51.111394,2025-01-17 10:21:08.100609,0 days 00:51:16.989215,Morning,MFI
38,2025-01-17,2025-01-17 10:44:45.952865,2025-01-17 11:49:59.062319,0 days 01:05:13.109454,Morning,MFI
39,2025-01-17,2025-01-17 12:06:30.692431,2025-01-17 13:17:33.121022,0 days 01:21:02.428591,Morning,MFI
40,2025-01-17,2025-01-17 14:42:12.877047,2025-01-17 15:39:47.515839,0 days 00:57:34.638792,Afternoon,MFI
41,2025-01-17,2025-01-17 16:01:26.592735,2025-01-17 17:04:41.367698,0 days 01:03:14.774963,Afternoon,MFI
